id_client;job_category;service_channel;nb_internet_products;contract_type;risk_of_credit;credit_flux;annual_flux;target
166;4789Z;BUREAU DE POSTE;1;1;7;Inconnu;40177,96;1
167;8690;PRO;1;1;8;0 a 70% de flux;27915,36;0
168;7111Z;PRO;1;1;7;Inconnu;24476,71;0
169;4520A;BUREAU DE POSTE;0;1;;0 a 70% de flux;7514,38;0
170;7490B;BUREAU DE POSTE;1;1;7;Inconnu;16200;0
171;4669B;BUREAU DE POSTE;1;1;7;0 a 70% de flux;5532;0
172;8621Z;A DISTANCE;2;1;7;Inconnu;30522,26;1
173;7420Z;BUREAU DE POSTE;1;1;6;Inconnu;2210,26;0
174;7111Z;BUREAU DE POSTE;2;1;8;0 a 70% de flux;10190;0
175;8690E;PRO;2;1;8;0 a 70% de flux;18371,97;0
176;0142Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
177;7112B;BUREAU DE POSTE;1;1;8;Inconnu;2762;0
178;4791A;BUREAU DE POSTE;2;1;7;0 a 70% de flux;9941,66;0
179;0142Z;PRO;2;1;9;Inconnu;24707,84;0
180;8130Z;BUREAU DE POSTE;1;1;7;Inconnu;100;0
181;5911B;BUREAU DE POSTE;2;1;7;Inconnu;34400;0
182;7021Z;BUREAU DE POSTE;0;1;;0 a 70% de flux;5455;0
183;9003B;BUREAU DE POSTE;2;1;8;Pas de flux;;0
184;5610A;BUREAU DE POSTE;0;1;7;0 a 70% de flux;12731,25;0
185;4520A;BUREAU DE POSTE;1;1;7;Inconnu;3875;0
186;5610A;BUREAU DE POSTE;1;1;4;0 a 70% de flux;2617;1
187;8121Z;BUREAU DE POSTE;1;1;7;Inconnu;2616;0
188;8690E;PRO;2;1;7;0 a 70% de flux;46256,32;0
189;6910Z;PRO;1;1;8;0 a 70% de flux;12225,14;0
190;4520A;BUREAU DE POSTE;0;1;;Pas de flux;;0
191;8622C;PRO;2;1;8;0 a 70% de flux;53197,31;1
192;9609Z;BUREAU DE POSTE;1;1;;Inconnu;723,24;0
193;9003A;PRO;1;1;9;Pas de flux;;0
194;8219Z;PRO;2;1;7;0 a 70% de flux;5100;0
195;8690;PRO;1;1;CESS;0 a 70% de flux;14146,52;0
196;9329Z;BUREAU DE POSTE;2;1;;Inconnu;22646,08;0
197;9602A;BUREAU DE POSTE;1;1;6;Inconnu;861;0
198;4399C;PRO;1;1;7;0 a 70% de flux;13725,64;0
199;9511Z;PRO;2;1;7;0 a 70% de flux;40643,46;0
200;8551Z;BUREAU DE POSTE;0;1;8;Inconnu;15;0
201;7410Z;PRO;2;1;7;0 a 70% de flux;7441,79;0
202;4532Z;BUREAU DE POSTE;1;1;6;Inconnu;2913;0
203;8690;PRO;2;1;9;Inconnu;23361,65;0
204;4321A;BUREAU DE POSTE;1;1;6;Inconnu;1839,69;0
205;7420Z;BUREAU DE POSTE;1;1;;Inconnu;7274,29;0
206;9511Z;PRO;2;1;6;0 a 70% de flux;124589,51;1
207;9525Z;PRO;2;1;7;Inconnu;5636,5;0
208;5911B;BUREAU DE POSTE;2;1;7;Inconnu;9747;0
209;9329Z;BUREAU DE POSTE;2;1;6;Pas de flux;;0
210;8690E;PRO;1;1;7;Inconnu;13840,81;1
211;8559A;BUREAU DE POSTE;0;1;;Inconnu;3500,02;0
