,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
1714,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
12759,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
11568,31.0,1.0,0.0,1.0,5.0,3.0,4747.8,0.0
16373,22.0,1.0,2.0,1.0,6.0,2.0,396.66,0.0
5561,6.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0
9862,157.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
15700,225.0,1.0,0.0,1.0,7.0,2.0,5900.0,0.0
16172,85.0,1.0,2.0,1.0,4.0,2.0,4320.0,0.0
3855,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0
13852,225.0,3.0,0.0,2.0,7.0,0.0,439455.96,0.0
4113,90.0,0.0,2.0,1.0,2.0,0.0,88146.0,0.0
8962,333.0,1.0,2.0,1.0,5.0,2.0,332.57,0.0
17521,247.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0
7180,149.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0
2715,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
12166,51.0,0.0,2.0,1.0,6.0,2.0,34800.0,0.0
17965,2.0,1.0,1.0,1.0,15.0,0.0,35413.79,0.0
316,110.0,1.0,2.0,1.0,5.0,2.0,4376.0,0.0
1923,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
13468,201.0,1.0,1.0,1.0,1.0,0.0,56400.0,0.0
12667,191.0,1.0,1.0,2.0,9.0,0.0,531.58,0.0
9060,51.0,0.0,2.0,1.0,6.0,3.0,3122.04,0.0
7658,239.0,10.0,0.0,391.0,13.0,0.0,24687168.26,0.0
11010,118.0,1.0,2.0,1.0,1.0,2.0,954.39,0.0
2818,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
6108,4.0,1.0,1.0,1.0,1.0,0.0,4170.0,0.0
950,182.0,1.0,1.0,1.0,1.0,2.0,7470.6,0.0
7212,2.0,1.0,2.0,1.0,1.0,0.0,25532.23,0.0
10952,111.0,6.0,0.0,1.0,5.0,2.0,535.0,0.0
19417,257.0,7.0,0.0,0.0,9.0,1.0,0.0,0.0
19209,84.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
17437,90.0,2.0,2.0,1.0,9.0,0.0,189510.0,0.0
30,3.0,1.0,2.0,1.0,1.0,2.0,4702.4,0.0
12752,190.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1639,20.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
19067,44.0,0.0,2.0,1.0,11.0,0.0,9258.33,1.0
7596,258.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
5742,90.0,1.0,0.0,1.0,1.0,0.0,9275.85,0.0
8805,86.0,0.0,2.0,1.0,1.0,0.0,67198.0,0.0
9935,102.0,3.0,1.0,1.0,1.0,0.0,627431.01,0.0
17756,0.0,0.0,1.0,1.0,0.0,0.0,11670.15,0.0
4456,40.0,1.0,0.0,1.0,3.0,0.0,2858.13,0.0
18606,225.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9924,257.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0
19681,0.0,0.0,2.0,1.0,0.0,0.0,14907.71,0.0
5525,188.0,1.0,1.0,1.0,2.0,2.0,542.47,0.0
9147,334.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0
13535,513.0,1.0,1.0,1.0,5.0,3.0,26810.17,0.0
1965,50.0,1.0,2.0,1.0,2.0,0.0,418.32,0.0
7324,301.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0
18112,376.0,0.0,1.0,1.0,0.0,0.0,3725.59,0.0
1584,88.0,1.0,1.0,1.0,1.0,0.0,1471.0,0.0
2025,39.0,1.0,2.0,1.0,5.0,2.0,2045.5,0.0
10730,149.0,1.0,1.0,1.0,1.0,2.0,14330.0,0.0
13512,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9538,26.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
15817,101.0,1.0,2.0,1.0,1.0,0.0,5821.55,0.0
15045,175.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0
8492,105.0,5.0,0.0,2.0,8.0,0.0,12041.17,0.0
4963,1.0,1.0,1.0,1.0,5.0,2.0,2693.0,0.0
7558,322.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
15834,111.0,10.0,0.0,2.0,5.0,1.0,0.0,0.0
7479,51.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0
12553,248.0,0.0,1.0,1.0,9.0,0.0,4486.0,0.0
2928,0.0,0.0,2.0,1.0,0.0,0.0,14856.66,1.0
13069,225.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
11243,90.0,1.0,2.0,1.0,1.0,2.0,3300.0,0.0
7094,1.0,1.0,1.0,1.0,2.0,3.0,21750.0,0.0
20038,56.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0
15283,493.0,0.0,1.0,1.0,6.0,0.0,19324.47,1.0
14825,17.0,1.0,2.0,1.0,1.0,0.0,3780.0,1.0
7898,17.0,0.0,1.0,1.0,7.0,0.0,2913.0,1.0
9430,17.0,1.0,2.0,1.0,0.0,2.0,22553.65,0.0
20570,44.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1593,88.0,0.0,1.0,1.0,2.0,2.0,11256.7,0.0
2201,267.0,0.0,1.0,1.0,1.0,0.0,557.62,0.0
7731,225.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
700,107.0,2.0,1.0,1.0,1.0,0.0,4176.44,0.0
14829,306.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
17818,44.0,1.0,1.0,1.0,3.0,2.0,10360.0,0.0
16680,4.0,0.0,1.0,1.0,0.0,0.0,17882.03,0.0
3693,111.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
7336,405.0,2.0,1.0,1.0,7.0,0.0,33957.78,1.0
3995,44.0,0.0,2.0,1.0,0.0,0.0,9358.53,1.0
20233,111.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0
1314,3.0,1.0,2.0,1.0,0.0,2.0,7467.02,0.0
20724,197.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
764,26.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
9298,355.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
4342,0.0,0.0,2.0,1.0,0.0,0.0,40039.81,0.0
17113,56.0,1.0,1.0,1.0,11.0,1.0,0.0,1.0
19653,123.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0
10269,334.0,3.0,0.0,1.0,13.0,0.0,483.3,0.0
16817,225.0,1.0,2.0,1.0,0.0,2.0,1950.0,0.0
16683,225.0,1.0,0.0,1.0,7.0,2.0,2100.0,0.0
38,21.0,1.0,2.0,1.0,1.0,0.0,11203.9,0.0
3613,23.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0
1455,110.0,1.0,1.0,1.0,2.0,0.0,2877.03,0.0
7713,163.0,1.0,2.0,1.0,1.0,0.0,21832.98,0.0
14792,269.0,0.0,1.0,1.0,7.0,0.0,50000.0,0.0
16261,431.0,3.0,0.0,2.0,9.0,1.0,0.0,0.0
5274,119.0,1.0,0.0,1.0,1.0,0.0,5300.0,0.0
2894,5.0,0.0,2.0,1.0,1.0,0.0,5018.07,0.0
5046,15.0,0.0,1.0,1.0,1.0,0.0,11545.62,0.0
11651,18.0,1.0,1.0,1.0,0.0,0.0,958.5,0.0
9966,225.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
8692,79.0,0.0,2.0,1.0,1.0,0.0,21240.0,0.0
8668,111.0,10.0,0.0,1.0,5.0,2.0,9550.21,1.0
11566,247.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0
7858,215.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1053,193.0,1.0,1.0,1.0,0.0,2.0,6392.42,0.0
10083,530.0,1.0,2.0,1.0,1.0,0.0,14196.37,0.0
6667,9.0,1.0,0.0,1.0,1.0,2.0,18223.68,0.0
14319,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
7284,96.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
15170,225.0,1.0,0.0,1.0,7.0,2.0,1000.0,0.0
7628,337.0,1.0,1.0,1.0,1.0,3.0,223211.32,0.0
10204,513.0,2.0,1.0,1.0,7.0,0.0,301519.17,0.0
